 Calibration of amptek channel to energy (20 Aug 2014) A=-0.29036  B=0.00568913  (egy = A + B * chan_num)
 74  W  L      .00      .00      .00 12100.00 11544.00 10207.00  8397.60  8335.20  8051.80  8683.12  9707.00 10157.00 10257.00 10707.00  2      .00 12600.00
 75 Re  L      .00      .00      .00 12527.00 11959.00 10535.00  8652.50  8586.20  8294.27  8946.68 10035.00 10485.00 10585.00 11035.00  2      .00 13027.00
 76 Os  L      .00      .00      .00 12968.00 12385.00 10871.00  8911.70  8841.00  8540.41  9214.70 10371.00 10821.00 10921.00 11371.00  2      .00 13468.00
 77 Ir  L      .00      .00      .00 13419.00 12824.00 11215.00  9175.10  9099.50  8790.12  9487.05 10715.00 11165.00 11265.00 11715.00  2      .00 13919.00
 78 Pt  L      .00      .00      .00 13880.00 13273.00 11564.00  9442.30  9361.80  9043.50  9763.34 11064.00 11514.00 11614.00 12064.00  2      .00 14380.00
 79 Au  L      .00      .00      .00 14353.00 13734.00 11919.00  9713.30  9628.00  9300.65 10043.55 11419.00 11869.00 11969.00 12419.00  2      .00 14853.00
 80 Hg  L      .00      .00      .00 14039.00 14209.00 12284.00  9988.80  9897.60  9561.08 10328.42 11784.00 12234.00 12334.00 12784.00  2      .00 14539.00
 81 Tl  L      .00      .00      .00 15347.00 14698.00 12658.00 10268.50 10172.80  9826.92 10617.63 12158.00 12608.00 12708.00 13158.00  2      .00 15847.00
 82 Pb  L      .00      .00      .00 15861.00 15200.00 13035.00 10551.50 10449.50 10094.22 10910.25 12535.00 12985.00 13085.00 13535.00  2      .00 16361.00
 83 Bi  L      .00      .00      .00 16388.00 15711.00 13419.00 10838.80 10730.90 10366.05 11207.32 12919.00 13369.00 13469.00 13919.00  2      .00 16888.00
 84 Po  L      .00      .00      .00 16939.00 16244.00 13814.00 11130.80 11015.80 10641.26 11509.25 13314.00 13764.00 13864.00 14314.00  2      .00 17439.00
 85 At  L      .00      .00      .00 17493.00 16785.00 14214.00 11426.80 11304.80 10920.44 11815.31 13714.00 14164.00 14264.00 14714.00  2      .00 17993.00
 86 Rn  L      .00      .00      .00 18049.00 17337.00 14619.00 11727.00 11597.90 11203.57 12125.72 14119.00 14569.00 14669.00 15119.00  2      .00 18549.00
 87 Fr  L      .00      .00      .00 18639.00 17907.00 15031.00 12031.30 11895.00 11490.57 12440.36 14531.00 14981.00 15081.00 15531.00  2      .00 19139.00
 88 Ra  L      .00      .00      .00 19237.00 18484.00 15444.00 12339.70 12196.20 11781.53 12759.25 14944.00 15394.00 15494.00 15944.00  2      .00 19737.00
 89 Ac  L      .00      .00      .00 19840.00 19083.00 15871.00 12652.00 12500.80 12075.77 13082.17 15371.00 15821.00 15921.00 16371.00  2      .00 20340.00
 90 Th  L      .00      .00      .00 20472.00 19693.00 16300.00 12968.70 12809.60 12374.07 13409.64 15800.00 16250.00 16350.00 16800.00  2      .00 20972.00
 91 Pa  L      .00      .00      .00 21105.00 20314.00 16733.00 13290.70 13122.20 12676.04 13742.58 16233.00 16683.00 16783.00 17233.00  2      .00 21605.00
 92  U  L      .00      .00      .00 21757.00 20948.00 17166.00 13614.70 13438.80 12981.88 14077.60 16666.00 17116.00 17216.00 17666.00  2      .00 22257.00
